Domain,Phylum,Class,Order,Family,Genus,Species,No. genomes
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,Aenigmatarchaeaceae,Aenigmatarchaeum,Aenigmatarchaeum subterraneum,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,Aenigmatarchaeaceae,CS1-C013,CS1-C013 sp011773475,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,Aenigmatarchaeaceae,CS1-C013,CS1-C013 sp017608545,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,Aenigmatarchaeaceae,JAAOXY01,JAAOXY01 sp018221065,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,Aenigmatarchaeaceae,JAFCDY01,JAFCDY01 sp017609445,2
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,Aenigmatarchaeaceae,JAFGAZ01,JAFGAZ01 sp016933455,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,Aenigmatarchaeaceae,JAGGXH01,JAGGXH01 sp021163145,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,Aenigmatarchaeaceae,JAHIDZ01,JAHIDZ01 sp018901755,2
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,Aenigmatarchaeaceae,JAHIDZ01,JAHIDZ01 sp028715225,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,Aenigmatarchaeaceae,JAHIEG01,JAHIEG01 sp018901655,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,Aenigmatarchaeaceae,JAWBOD01,JAWBOD01 sp039000735,2
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,DAIDAN01,DAIDAN01,DAIDAN01 sp027310605,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,DAIDAN01,DAIDAN01,DAIDAN01 sp036171435,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,DATDXV01,DATDXV01,DATDXV01 sp035289205,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,JAADFI01,JAADFI01,JAADFI01 sp013152905,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,JAADFI01,WANL01,WANL01 sp015521825,3
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,JACQIB01,DATDSO01,DATDSO01 sp035291225,2
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,JACQIB01,JACQIB01,JACQIB01 sp016198755,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,JACQIB01,JAWABM01,JAWABM01 sp038999215,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,JAHLMR01,JAHLMR01,JAHLMR01 sp018920255,6
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,JAHLMS01,JAHLMS01,JAHLMS01 sp018920245,3
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,SZUA-1535,SZUA-1535,SZUA-1535 sp015521535,2
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,SZUA-1535,SZUA-1535,SZUA-1535 sp015661515,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,Aenigmatarchaeales,SZUA-1535,SZUA-1535,SZUA-1535 sp026985775,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,CG10238-14,CG10238-14,CG10238-14 sp002789635,9
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,CG10238-14,CG10238-14,CG10238-14 sp014728985,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,CG10238-14,CG10238-14,CG10238-14 sp038999265,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,CG10238-14,DAOVGP01,DAOVGP01 sp030672375,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,CG10238-14,JAFCEW01,JAFCEW01 sp017608955,2
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,CG10238-14,JAGVVZ01,JAGVVZ01 sp018304545,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,CG10238-14,JAHLMN01,JAHLMN01 sp018920345,4
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,CG10238-14,JAHLMN01,JAHLMN01 sp018920365,2
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,CG10238-14,JAHLMN01,JAHLMN01 sp025058005,2
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,CG10238-14,JAHLMN01,JAHLMN01 sp026414305,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,CG10238-14,JASEGC01,JASEGC01 sp026397455,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,CG10238-14,JASEGC01,JASEGC01 sp030018415,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,CG10238-14,RBG-16-49-10,RBG-16-49-10 sp001784635,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,EX4484-224,EX4484-224,EX4484-224 sp002254545,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,JAGHAA01,JAGHAA01,JAGHAA01 sp021161745,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,CALIKW01,CALIKW01 sp038998005,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,CALIKW01,CALIKW01 sp938017915,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,DAIDAX01,DAIDAX01 sp027310405,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,DATDXT01,DATDXT01 sp035289185,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,DATEAB01,DATEAB01 sp035288545,1
