"","Sequence_ID","Cluster"
"1","AB002632_0A_Fwd_7467","0"
"2","KC357596_0A_Fwd_7184","0"
"3","AB008550_0A_Rev_26680","1"
"4","BK061475_0A_Rev_26410","1"
"5","OR683410_0A_Rev_27423","1"
"6","AB008550_0A_Rev_5557","2"
"7","MK034952_0A_Rev_6914","2"
"8","OR683410_0A_Rev_6476","2"
"9","AB008550_0A_Fwd_3188","3"
"10","AB008550_0A_Rev_3579","4"
"11","MK034952_0A_Rev_4936","4"
"12","OR683410_0A_Rev_4498","4"
"13","AB008550_0A_Rev_20698","5"
"14","BK061475_0A_Rev_18830","5"
"15","MK034952_0A_Rev_21468","5"
"16","MK511066_0A_Rev_20653","5"
"17","OR683410_0A_Rev_21502","5"
"18","AB008550_0A_Fwd_29808","6"
"19","AB008550_0A_Fwd_17634","7"
"20","BK061475_0A_Fwd_15763","7"
"21","MK511066_0A_Fwd_17578","7"
"22","AB009866_0A_Fwd_27792","8"
"23","AB009866_0A_Fwd_8813","9"
"24","AB243556_0A_Fwd_27093","9"
"25","AF424783_0A_Fwd_25831","9"
"26","CP062426_0A_Fwd_8698","9"
"27","CP062435_0A_Fwd_8714","9"
"28","CP062445_0A_Fwd_8714","9"
"29","CP062457_0A_Fwd_8714","9"
"30","EF462197_0A_Fwd_26638","9"
"31","EF462199_0A_Fwd_25914","9"
"32","FJ713816_0A_Fwd_28410","9"
"33","GQ915271_0A_Fwd_11209","9"
"34","KC342645_0A_Fwd_37202","9"
"35","KY653125_0A_Fwd_25813","9"
"36","KY695153_0A_Fwd_22987","9"
"37","MH384260_0A_Fwd_26910","9"
"38","MH401414_0A_Fwd_37198","9"
"39","MH401415_0A_Fwd_37202","9"
"40","MW627293_0A_Fwd_8743","9"
"41","MZ570582_0A_Fwd_15974","9"
"42","OM439664_0A_Fwd_26727","9"
"43","OP136133_0A_Fwd_26067","9"
"44","OP493557_0A_Fwd_27648","9"
"45","OQ687052_0A_Fwd_8804","9"
"46","PQ281812_0A_Fwd_27031","9"
"47","AB009866_0A_Rev_18483","10"
"48","AB044554_0A_Rev_37168","10"
"49","AF424783_0A_Rev_35515","10"
"50","AP011955_0A_Rev_36689","10"
"51","AP011956_0A_Rev_36689","10"
"52","AY508486_0A_Rev_17920","10"
"53","CP062426_0A_Rev_18397","10"
"54","CP062435_0A_Rev_18395","10"
"55","CP062445_0A_Rev_18395","10"
"56","CP062447_0A_Rev_17480","10"
"57","CP062457_0A_Rev_18395","10"
