"","gene_name","Temperate","Lytic","a","c","b","d","p_two_sided","OR","OR_cc","plot_OR","direction","prevalence","dataset","COGlet","fisher_test"
"1","16S rRNA modification",4,0,4,0,7914,817,1,Inf,0.929622844146819,0.105282573549838,"Temperate",4,"UHGV","J","AVG_SporBacil_Lifestyle"
"2","23S rRNA modification",2,1,2,1,321,455,0.573064819788752,2.83489096573209,2.36132711249352,1.23959791064031,"Temperate",3,"INPHARED","J","AVG_SporBacil_Lifestyle"
"3","23S rRNA modification",189,77,189,77,7729,740,1.7295090807422e-20,0.235006292711041,0.234250848759153,2.09387381968848,"Lytic",266,"UHGV","J","AVG_SporBacil_Lifestyle"
"4","3D",193,44,193,44,7725,773,7.51070264200515e-06,0.438920270667844,0.435366170256243,1.19969878635003,"Lytic",237,"UHGV","S","AVG_SporBacil_Lifestyle"
"5","3D",20,180,20,180,303,276,1.02853920397062e-28,0.101210121012101,0.103469677401689,3.27272005829006,"Lytic",200,"INPHARED","S","AVG_SporBacil_Lifestyle"
"6","Amino acid (E)",136,13,136,13,7782,804,0.887709724606196,1.08083743550205,1.04521540493272,0.0638002931232882,"Temperate",149,"UHGV","E","AVG_SporBacil_Lifestyle"
"7","Amino acid (E)",3,2,3,2,320,454,0.654069392945783,2.128125,1.98533541341654,0.989382764745608,"Temperate",5,"INPHARED","E","AVG_SporBacil_Lifestyle"
"8","Aminoacyl-tRNA synthetases",17,1,17,1,7901,816,1,1.75572712314897,1.20557278153937,0.269718750398202,"Temperate",18,"UHGV","J","AVG_SporBacil_Lifestyle"
"9","Archaeal ribosomal proteins",22,0,22,0,7896,817,0.259205933831224,Inf,4.65870955486608,2.21993038908213,"Temperate",22,"UHGV","J","AVG_SporBacil_Lifestyle"
"10","Arginine biosynthesis",3,0,3,0,7915,817,1,Inf,0.722948645063483,0.468034926471224,"Temperate",3,"UHGV","E","AVG_SporBacil_Lifestyle"
"11","Aromatic amino acid biosynthesis",1,3,1,3,7917,814,0.00303398046323544,0.0342722411687929,0.044088592178267,4.50345077972648,"Lytic",4,"UHGV","E","AVG_SporBacil_Lifestyle"
"12","Asparagine biosynthesis",4,0,4,0,7914,817,1,Inf,0.929622844146819,0.105282573549838,"Temperate",4,"UHGV","E","AVG_SporBacil_Lifestyle"
"13","Biotin biosynthesis",1,0,1,0,7917,817,1,Inf,0.309756867698137,1.69079182580895,"Temperate",1,"UHGV","H","AVG_SporBacil_Lifestyle"
"14","Carbohydrate (G)",26,24,26,24,297,432,0.137887953501448,1.57575757575758,1.57245755445035,0.653021074776772,"Temperate",50,"INPHARED","G","AVG_SporBacil_Lifestyle"
"15","Carbohydrate (G)",225,22,225,22,7693,795,0.911738239104699,1.0568935159472,1.0362874865507,0.0514242905582801,"Temperate",247,"UHGV","G","AVG_SporBacil_Lifestyle"
"16","Cell cycle (D)",92,169,92,169,231,287,0.013679698975943,0.676349291733907,0.677733391948113,0.56121024004853,"Lytic",261,"INPHARED","D","AVG_SporBacil_Lifestyle"
"17","Cell cycle (D)",643,26,643,26,7275,791,3.55573012391801e-08,2.68893999471319,2.6417441322194,1.40149074022054,"Temperate",669,"UHGV","D","AVG_SporBacil_Lifestyle"
"18","Cell membrane (M)",708,180,708,180,7210,637,3.92758699372623e-26,0.347508090614887,0.34703833917181,1.52683304108198,"Lytic",888,"UHGV","M","AVG_SporBacil_Lifestyle"
"19","Cell membrane (M)",41,76,41,76,282,380,0.153922636362325,0.726950354609929,0.730672682052172,0.452702825144732,"Lytic",117,"INPHARED","M","AVG_SporBacil_Lifestyle"
