"","gene_name","Temperate","Lytic","a","c","b","d","p_two_sided","OR","OR_cc","plot_OR","direction","prevalence","dataset","COGlet","fisher_test"
"1","16S rRNA modification",4,0,4,0,1096,945,0.128945914403594,Inf,7.76060191518468,2.95616855271848,"Temperate",4,"INPHARED","J","AVG_NonSporBacil_Lifestyle"
"2","16S rRNA modification",1,0,1,0,3417,926,1,Inf,0.813313825896123,0.298115955745,"Temperate",1,"UHGV","J","AVG_NonSporBacil_Lifestyle"
"3","23S rRNA modification",20,44,20,44,3398,882,2.84663961369303e-16,0.117983840761946,0.119624817955046,3.06341136566657,"Lytic",64,"UHGV","J","AVG_NonSporBacil_Lifestyle"
"4","23S rRNA modification",1,1,1,1,1099,944,1,0.858962693357598,0.859026830377444,0.219224902466598,"Lytic",2,"INPHARED","J","AVG_NonSporBacil_Lifestyle"
"5","3D",131,44,131,44,3287,882,0.220351772623339,0.798890947810936,0.793258426966292,0.33413715258258,"Lytic",175,"UHGV","S","AVG_NonSporBacil_Lifestyle"
"6","3D",0,39,0,39,1100,906,5.46890593863161e-14,0,0.0104267910443469,6.5835609683245,"Lytic",39,"INPHARED","S","AVG_NonSporBacil_Lifestyle"
"7","Amino acid (E)",40,4,40,4,3378,922,0.0615884673548675,2.72942569567792,2.45745153174486,1.29716296260822,"Temperate",44,"UHGV","E","AVG_NonSporBacil_Lifestyle"
"8","Amino acid (E)",12,0,12,0,1088,945,0.000661835618924703,Inf,21.7156637574644,4.44066414553628,"Temperate",12,"INPHARED","E","AVG_NonSporBacil_Lifestyle"
"9","Aminoacyl-tRNA synthetases",7,1,7,1,1093,944,0.0760731239661848,6.04574565416285,4.31870141746685,2.11059757622764,"Temperate",8,"INPHARED","J","AVG_NonSporBacil_Lifestyle"
"10","Aminoacyl-tRNA synthetases",4,0,4,0,3414,926,0.584427667093798,Inf,2.44208522477669,1.28811354889912,"Temperate",4,"UHGV","J","AVG_NonSporBacil_Lifestyle"
"11","Archaeal ribosomal proteins",8,0,8,0,3410,926,0.215639058938452,Inf,4.61823779504472,2.20734246001097,"Temperate",8,"UHGV","J","AVG_NonSporBacil_Lifestyle"
"12","Arginine biosynthesis",1,0,1,0,3417,926,1,Inf,0.813313825896123,0.298115955745,"Temperate",1,"UHGV","E","AVG_NonSporBacil_Lifestyle"
"13","Arginine biosynthesis",3,0,3,0,1097,945,0.253943798774157,Inf,6.03052391799544,2.59228334558465,"Temperate",3,"INPHARED","E","AVG_NonSporBacil_Lifestyle"
"14","Aromatic amino acid biosynthesis",4,0,4,0,1096,945,0.128945914403594,Inf,7.76060191518468,2.95616855271848,"Temperate",4,"INPHARED","E","AVG_NonSporBacil_Lifestyle"
"15","Aromatic amino acid biosynthesis",2,0,2,0,3416,926,1,Inf,1.3559198009659,0.43927184943999,"Temperate",2,"UHGV","E","AVG_NonSporBacil_Lifestyle"
"16","Biotin biosynthesis",1,0,1,0,1099,945,1,Inf,2.57980900409277,1.36726425981595,"Temperate",1,"INPHARED","H","AVG_NonSporBacil_Lifestyle"
