Accession	Description	Classification	Genome Length (bp)	Jumbophage	molGC (%)	Molecule	Modification Date	Number CDS	Positive Strand (%)	Negative Strand (%)	Coding Capacity (%)	Low Coding Capacity Warning	tRNAs	Host	Lowest Taxa	Genus	Sub-family	Family	Order	Class	Phylum	Kingdom	Realm	Baltimore Group	Genbank Division	Isolation Host (beware inconsistent and nonsense values)
AY319521	Salmonella phage SopEPhi	Salmonella phage SopEPhi Felsduovirus SopEphi Felsduovirus Peduoviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	35155	FALSE	51.321	DNA	22-MAR-2024	45	82.2222222222222	17.7777777777778	90.3712131986915	NA	0	Salmonella	Felsduovirus	Felsduovirus	Unclassified	Peduoviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	SYN	Salmonella enterica subsp. enterica serovar Typhimurium
MW175890	Dompiswa phage TSP7_1	Dompiswa phage TSP7_1 Phapecoctavirus TSP7 Phapecoctavirus Stephanstirmvirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	150892	FALSE	39.115	DNA	10-JAN-2024	272	49.6323529411765	50.3676470588235	91.7603318930096	NA	10	Dompiswa	Phapecoctavirus	Phapecoctavirus	Stephanstirmvirinae	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	ENV	Unspecified
GU339467	Mycobacterium phage RedRock	Mycobacterium phage RedRock Fromanvirus redrock Fromanvirus Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	53332	FALSE	64.530	DNA	29-AUG-2023	90	40	60	90.4166354158854	NA	1	Mycobacterium	Fromanvirus	Fromanvirus	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	ENV	Unspecified
MF417929	Uncultured Caudovirales phage clone 2F_1	Uncultured Caudovirales phage clone 2F_1 Bracchivirus U2F1 Bracchivirus Peduoviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	32618	FALSE	39.218	DNA	01-NOV-2022	42	16.6666666666667	83.3333333333333	89.4168863817524	NA	0	Unspecified	Bracchivirus	Bracchivirus	Unclassified	Peduoviridae	Caudovirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	ENV	Unspecified
MH616963	crAssphage sp. isolate ctbg_1	crAssphage sp. isolate ctbg_1 Whopevirus animalis Whopevirus Crudevirinae Intestiviridae Crassvirales Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	94878	FALSE	28.507	DNA	25-OCT-2022	89	56.1797752808989	43.8202247191011	94.9640591074854	NA	2	Unspecified	Whopevirus	Whopevirus	Crudevirinae	Intestiviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	ENV	Unspecified
MH552500	crAssphage sp. isolate ctcc615	crAssphage sp. isolate ctcc615 Wotdevirus murinus Wotdevirus Obtuvirinae Intestiviridae Crassvirales Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	90023	FALSE	29.180	DNA	25-OCT-2022	86	47.6744186046512	52.3255813953488	92.9273630072315	NA	2	Unspecified	Wotdevirus	Wotdevirus	Obtuvirinae	Intestiviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	ENV	Unspecified
BK010471	Carjivirus communis	Carjivirus communis Carjivirus Crudevirinae Intestiviridae Crassvirales Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	97065	FALSE	29.274	DNA	18-OCT-2022	91	50.5494505494505	49.4505494505495	94.4583526502859	NA	0	Unspecified	Carjivirus	Carjivirus	Crudevirinae	Intestiviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	ENV	bacterium
AC171169	Escherichia phage H8	Escherichia phage H8 Tequintavirus H8 Tequintavirus Markadamsvirinae Demerecviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	104373	FALSE	38.783	DNA	28-OCT-2021	146	28.7671232876712	71.2328767123288	89.1456602761251	NA	6	Escherichia	Tequintavirus	Tequintavirus	Markadamsvirinae	Demerecviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	HTG	Unspecified
LR797314	uncultured Caudovirales phage	uncultured Caudovirales phage environmental samples Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	36306	FALSE	42.059	DNA	12-JAN-2021	41	70.7317073170732	29.2682926829268	92.1335316476615	NA	0	Unspecified	Unclassified	Unclassified	Unclassified	Unclassified	Caudovirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	ENV	Unspecified
KT997847	uncultured phage_Deep1-GF2-KM23-C739	uncultured phage_Deep1-GF2-KM23-C739 Chosvirus KM23C739 Chosvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	33961	FALSE	32.384	DNA	09-JUN-2020	47	100	0	91.5550189923736	NA	1	Unspecified	Chosvirus	Chosvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	ENV	Unspecified
