fasta_id	sequence_id	predicted_label	p_temperate	p_virulent
NC_001884.1_Bacillus_phage_SPBc2_complete_genome	0	temperate	0.9466596051615256	0.05334039483847444
FJ230960.1_Bacillus_phage_SPO1_complete_genome	1	virulent	0.023993770307222714	0.9760062296927773
NC_011048.1_Bacillus_phage_phi29_complete_genome	2	virulent	0.1550601802395671	0.844939819760433
VIRSorter_Agribiome_L_E1_T5_co_scaffold_2723-cat_1	3	temperate	0.734484767295387	0.26551523270461297
VIRSorter_Agribiome_L_E1_T5_co_scaffold_123-circular-cat_2	4	temperate	0.933880967747366	0.06611903225263406
VIRSorter_Agribiome_L_E1_T5_co_scaffold_34-circular-cat_2	5	temperate	0.8143471162457944	0.18565288375420555
VIRSorter_Agribiome_L_E1_T5_co_scaffold_17-circular-cat_2	6	temperate	0.5178811404269766	0.4821188595730233
VIRSorter_Agribiome_L_E1_T5_co_scaffold_26-cat_2	7	virulent	0.41581410934452223	0.5841858906554778
VIRSorter_Agribiome_L_E1_T5_co_scaffold_60-cat_2	8	temperate	0.6348397729214299	0.36516022707857
VIRSorter_Agribiome_L_E1_T5_co_scaffold_57-cat_2	9	temperate	0.6447429008648005	0.3552570991351996
VIRSorter_Agribiome_C_No_T0_co_scaffold_79-cat_2	10	temperate	0.6406774101849527	0.3593225898150472
VIRSorter_Agribiome_L_E1_T5_co_scaffold_2447-cat_2	11	virulent	0.18564645672941577	0.8143535432705843
VIRSorter_Agribiome_L_E1_T5_co_scaffold_44_gene_54_gene_259-42606-187517-cat_5	12	temperate	0.9308369539743737	0.0691630460256262
VIRSorter_AD_CERC_C7A_k121_31426_flag_3_multi_173_1459_len_51980-circular-cat_1	13	temperate	0.8358605882329776	0.16413941176702243
VIRSorter_AD_CERC_C8A_k121_211718_flag_0_multi_171_4669_len_51980-circular-cat_1	14	temperate	0.8710774574623378	0.12892254253766222
VIRSorter_AD_CERC_C3A_k121_177737_flag_3_multi_499_0096_len_51980-circular-cat_1	15	temperate	0.9007604309163362	0.09923956908366374
VIRSorter_AD_CERC_C3A_k121_118626_flag_3_multi_737_0000_len_56376-circular-cat_2	16	temperate	0.5017317562804117	0.49826824371958833
VIRSorter_AD_CERC_I3A_k121_40749_flag_3_multi_64_0000_len_64334-circular-cat_2	17	temperate	0.5247267597628524	0.47527324023714757
VIRSorter_AD_CERC_C7A_k121_100369_flag_0_multi_305_0000_len_56372-circular-cat_2	18	temperate	0.5211109186076278	0.4788890813923722
VIRSorter_AD_CERC_C8A_k121_2458_flag_1_multi_115_0000_len_39288-circular-cat_2	19	temperate	0.9165260780914687	0.08347392190853133
VIRSorter_AD_CERC_I8A_k121_70598_flag_1_multi_58_9920_len_166412-cat_2	20	temperate	0.555477241365007	0.4445227586349931
VIRSorter_AD_CERC_I7A_k121_116032_flag_1_multi_114_9835_len_166410-cat_2	21	temperate	0.5804287326291937	0.41957126737080624
VIRSorter_AD_CERC_I8A_k121_31693_flag_0_multi_208_4569_len_85268-cat_2	22	virulent	0.4263911030822961	0.5736088969177039
VIRSorter_AD_CERC_I3A_k121_73791_flag_1_multi_157_0000_len_81244-cat_2	23	virulent	0.05835019169094265	0.9416498083090574
VIRSorter_AD_CERC_I8A_k121_99500_flag_1_multi_135_0000_len_64838-cat_2	24	virulent	0.05537731454730413	0.9446226854526959
VIRSorter_AD_CERC_I7A_k121_115825_flag_1_multi_98_0000_len_63743-cat_2	25	virulent	0.05329104436742671	0.9467089556325733
